App,Rating,Reviews,Size,Installs,Price,Content Rating,Subscription_Type,Year,Month,Day,Application_Type,Android_version,Primary_Application_Type
Used Cars Mexico,4.0,190,2.5,50000,0.0,Everyone,0,2016,10,14,Auto & Vehicles,2.3 and up,Auto & Vehicles
Used cars for sale - Trovit,4.2,52530,7.0,5000000,0.0,Everyone,0,2018,7,16,Auto & Vehicles,4.0.3 and up,Auto & Vehicles
"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",4.8,116986,35000.0,5000000,0.0,Everyone,0,2018,8,2,Auto & Vehicles,4.0.3 and up,Auto & Vehicles
SK Enca Direct Malls - Used Cars Search,3.6,1379,16000.0,500000,0.0,Everyone,0,2018,8,2,Auto & Vehicles,4.2 and up,Auto & Vehicles
"Android Auto - Maps, Media, Messaging & Voice",4.2,271920,16000.0,10000000,0.0,Teen,0,2018,7,11,Auto & Vehicles,5.0 and up,Auto & Vehicles
PDD-UA,4.8,736,13000.0,100000,0.0,Everyone,0,2018,7,29,Auto & Vehicles,2.3.3 and up,Auto & Vehicles
Tickets SDA 2019 + Exam RF,4.8,7021,17000.0,500000,0.0,Everyone,0,2018,7,27,Auto & Vehicles,4.0 and up,Auto & Vehicles
Super Cars Wallpapers And Backgrounds,4.6,197,3.4,50000,0.0,Everyone,0,2018,6,14,Auto & Vehicles,4.0 and up,Auto & Vehicles
"Police Lights, Sirens & Follow Me",4.5,737,8.9,100000,0.0,Everyone,0,2018,6,8,Auto & Vehicles,4.1 and up,Auto & Vehicles
Police Detector (Speed Camera Radar),4.3,3574,3.9,1000000,0.0,Everyone 10+,0,2018,7,4,Auto & Vehicles,4.0 and up,Auto & Vehicles
Best Car Wallpapers,4.5,994,2.9,100000,0.0,Everyone,0,2018,3,27,Auto & Vehicles,4.1 and up,Auto & Vehicles
Tickets + PDA 2018 Exam,4.9,197136,38000.0,1000000,0.0,Everyone,0,2018,7,15,Auto & Vehicles,4.1 and up,Auto & Vehicles
Pick Your Part Garage,3.9,142,32000.0,50000,0.0,Everyone,0,2018,7,24,Auto & Vehicles,6.0 and up,Auto & Vehicles
PakWheels: Buy & Sell Cars,4.4,15168,37000.0,1000000,0.0,Everyone,0,2018,7,27,Auto & Vehicles,4.2 and up,Auto & Vehicles
Supervision service,4.0,2155,15000.0,500000,0.0,Everyone,0,2018,7,30,Auto & Vehicles,5.0 and up,Auto & Vehicles
Speed Camera Detector - Traffic & Speed Alert,4.3,138,5.4,100000,0.0,Everyone,0,2018,7,23,Auto & Vehicles,4.0.3 and up,Auto & Vehicles
Used car search Goo net whole car Go to net,3.7,5414,18000.0,1000000,0.0,Everyone,0,2018,7,23,Auto & Vehicles,4.4 and up,Auto & Vehicles
BEST CAR SOUNDS,4.3,348,38000.0,100000,0.0,Everyone,0,2018,7,29,Auto & Vehicles,2.3 and up,Auto & Vehicles
RST - Sale of cars on the PCT,3.2,250,1.1,100000,0.0,Everyone,0,2018,4,27,Auto & Vehicles,4.0.3 and up,Auto & Vehicles
SMS Park,4.5,3617,7.9,100000,0.0,Everyone,0,2018,5,16,Auto & Vehicles,4.1 and up,Auto & Vehicles
SKencar,3.7,4806,35000.0,1000000,0.0,Everyone,0,2018,7,31,Auto & Vehicles,4.0.3 and up,Auto & Vehicles
Fuelio: Gas log & costs,4.6,65786,13000.0,1000000,0.0,Everyone,0,2018,8,2,Auto & Vehicles,4.0.3 and up,Auto & Vehicles
auto fines,4.6,31433,17000.0,1000000,0.0,Everyone,0,2018,8,2,Auto & Vehicles,4.0.3 and up,Auto & Vehicles
"Used car is the first car - used car purchase, used car quotation, dealer information to",4.6,5097,19000.0,1000000,0.0,Everyone,0,2018,7,23,Auto & Vehicles,4.0.3 and up,Auto & Vehicles
All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),4.0,1754,14000.0,500000,0.0,Everyone,0,2018,6,2,Auto & Vehicles,4.0 and up,Auto & Vehicles
Inquiry Fines and Debits of Vehicles,4.4,2680,2.2,500000,0.0,Everyone,0,2018,3,20,Auto & Vehicles,4.0.3 and up,Auto & Vehicles
Gas Station,4.0,1288,4.5,100000,0.0,Everyone,0,2018,4,21,Auto & Vehicles,4.0 and up,Auto & Vehicles
Hush - Beauty for Everyone,4.7,18900,17000.0,500000,0.0,Everyone,0,2018,8,2,Beauty,5.0 and up,Beauty
"ipsy: Makeup, Beauty, and Tips",4.9,49790,14000.0,1000000,0.0,Everyone,0,2017,11,9,Beauty,4.1 and up,Beauty
Natural recipes for your beauty,4.7,1150,9.8,100000,0.0,Everyone,0,2018,5,15,Beauty,4.1 and up,Beauty
"BestCam Selfie-selfie, beauty camera, photo editor",3.9,1739,21000.0,500000,0.0,Everyone,0,2018,7,12,Beauty,4.0.3 and up,Beauty
Beauty Selfie Camera,4.2,2225,52000.0,500000,0.0,Everyone,0,2018,2,28,Beauty,4.1 and up,Beauty
Hairstyles step by step,4.6,4369,14000.0,100000,0.0,Everyone,0,2018,7,25,Beauty,4.0.3 and up,Beauty
Filters for Selfie,4.3,8572,25000.0,1000000,0.0,Everyone,0,2018,5,10,Beauty,4.0 and up,Beauty
Tie - Always be happy,4.7,964,9.0,50000,0.0,Everyone,0,2018,6,21,Beauty,4.2 and up,Beauty
Ulta Beauty,4.7,42050,13000.0,1000000,0.0,Everyone,0,2018,6,5,Beauty,5.0 and up,Beauty
Prom MakeUp Tutorial,4.8,104,12000.0,10000,0.0,Everyone,0,2018,6,26,Beauty,4.0.3 and up,Beauty
Sweet Selfie Beauty Camera,4.3,601,35000.0,100000,0.0,Everyone,0,2018,6,2,Beauty,4.0 and up,Beauty
Colors of white in Urdu,4.5,36,6.7,10000,0.0,Everyone,0,2018,7,26,Beauty,4.0 and up,Beauty
Selfie Camera Photo Editor & Filter & Sticker,4.1,187,30000.0,50000,0.0,Teen,0,2018,7,24,Beauty,4.0.3 and up,Beauty
Wrinkles and rejuvenation,4.3,182,5.7,100000,0.0,Everyone 10+,0,2017,9,20,Beauty,3.0 and up,Beauty
Eyes Makeup Beauty Tips,4.2,30,2.9,10000,0.0,Everyone,0,2018,4,9,Beauty,4.0.3 and up,Beauty
Photo Editor 2018,4.5,134,17000.0,10000,0.0,Everyone,0,2018,3,1,Beauty,4.0.3 and up,Beauty
Step By Step Eyes Makeup Tutorial,4.4,74,2.9,10000,0.0,Everyone,0,2018,4,5,Beauty,4.0.3 and up,Beauty
Girls Hairstyles,4.1,3595,13000.0,500000,0.0,Everyone,0,2018,5,24,Beauty,4.0 and up,Beauty
Mirror Camera (Mirror + Selfie Camera),4.1,9315,2.6,1000000,0.0,Everyone,0,2017,11,21,Beauty,4.0 and up,Beauty
Beauty Tips - Beauty Tips in Sinhala,4.4,75,4.2,50000,0.0,Everyone,0,2017,10,18,Beauty,4.0.3 and up,Beauty
Haircut Tutorials/Haircut Videos,4.6,38,7.1,10000,0.0,Everyone,0,2018,5,29,Beauty,4.0 and up,Beauty
"Sephora: Skin Care, Beauty Makeup & Fragrance Shop",4.5,26834,57000.0,1000000,0.0,Everyone,0,2018,7,24,Beauty,5.0 and up,Beauty
Manicure - nail design,4.3,119,3.7,50000,0.0,Everyone,0,2018,7,23,Beauty,4.1 and up,Beauty
"Sticker Camera - Selfie Filters, Beauty Camera",3.9,2277,22000.0,500000,0.0,Everyone,0,2018,7,12,Beauty,4.0.3 and up,Beauty
Filters for B Live,4.4,2280,24000.0,500000,0.0,Everyone,0,2018,5,14,Beauty,4.0 and up,Beauty
Skin Care and Natural Beauty,4.3,654,7.4,100000,0.0,Teen,0,2018,7,17,Beauty,4.1 and up,Beauty
Facial Wrinkle Reduction,4.6,184,21000.0,10000,0.0,Everyone,0,2018,7,2,Beauty,4.1 and up,Beauty
Makeup Videos,3.8,9,3.4,5000,0.0,Everyone,0,2018,6,7,Beauty,4.0 and up,Beauty
"Secrets of beauty, youth and health",4.3,77,2.9,10000,0.0,Mature 17+,0,2017,8,8,Beauty,2.3 and up,Beauty
Recipes and tips for losing weight,4.3,35,3.1,10000,0.0,Everyone 10+,0,2017,12,11,Beauty,3.0 and up,Beauty
Discover Color,4.0,364,6.4,100000,0.0,Everyone,0,2018,5,24,Beauty,4.0.3 and up,Beauty
Eyeliner step by step 2018,4.3,18,3.2,5000,0.0,Everyone,0,2018,6,1,Beauty,4.0.3 and up,Beauty
Dresses Ideas & Fashions +3000,4.5,473,8.2,100000,0.0,Mature 17+,0,2017,3,1,Beauty,1.6 and up,Beauty
"Lady adviser (beauty, health)",4.3,30,9.9,10000,0.0,Mature 17+,0,2018,1,24,Beauty,3.0 and up,Beauty
Step By Step Hairstyles For Women,4.1,66,2.9,10000,0.0,Everyone,0,2018,4,5,Beauty,4.0.3 and up,Beauty
Rainbow Camera,3.7,3871,23000.0,1000000,0.0,Everyone,0,2018,7,30,Beauty,4.0 and up,Beauty
Methods of teeth whitening,4.7,257,4.6,50000,0.0,Everyone,0,2017,8,7,Beauty,4.0.3 and up,Beauty
Girls hairstyles 2018,4.2,62,3.1,10000,0.0,Everyone,0,2018,5,28,Beauty,4.0.3 and up,Beauty
E-Book Read - Read Book for free,4.5,1857,4.9,50000,0.0,Everyone,0,2018,8,3,Books & Reference,4.4 and up,Books & Reference
Download free book with green book,4.6,4478,9.5,100000,0.0,Everyone 10+,0,2017,7,31,Books & Reference,4.0 and up,Books & Reference
Cool Reader,4.5,246315,13000.0,10000000,0.0,Everyone,0,2015,7,17,Books & Reference,1.5 and up,Books & Reference
Free Panda Radio Music,4.5,418,4.2,100000,0.0,Everyone,0,2018,3,27,Books & Reference,4.1 and up,Books & Reference
Book store,4.4,22486,5.4,1000000,0.0,Teen,0,2018,6,6,Books & Reference,4.0 and up,Books & Reference
English Grammar Complete Handbook,4.6,1435,2.8,500000,0.0,Everyone,0,2018,1,21,Books & Reference,4.0 and up,Books & Reference
Free Books - Spirit Fanfiction and Stories,4.8,116507,5.0,1000000,0.0,Teen,0,2018,8,1,Books & Reference,4.0.3 and up,Books & Reference
AlReader -any text book reader,4.6,90468,5.9,5000000,0.0,Everyone,0,2018,5,27,Books & Reference,2.3 and up,Books & Reference
Offline English Dictionary,4.2,860,13000.0,100000,0.0,Everyone,0,2018,7,17,Books & Reference,4.0.3 and up,Books & Reference
Oxford Dictionary of English : Free,4.1,363934,7.1,10000000,0.0,Everyone,0,2018,7,11,Books & Reference,4.1 and up,Books & Reference
Offline: English to Tagalog Dictionary,4.7,967,6.7,500000,0.0,Everyone,0,2018,8,4,Books & Reference,4.0.3 and up,Books & Reference
FamilySearch Tree,4.3,17506,17000.0,1000000,0.0,Everyone,0,2018,7,20,Books & Reference,4.1 and up,Books & Reference
Cloud of Books,3.3,1862,19000.0,1000000,0.0,Everyone,0,2018,4,27,Books & Reference,4.1 and up,Books & Reference
Recipes of Prophetic Medicine for free,4.6,2084,6.7,500000,0.0,Everyone,0,2018,5,17,Books & Reference,2.3 and up,Books & Reference
ReadEra – free ebook reader,4.8,47303,21000.0,1000000,0.0,Everyone,0,2018,6,2,Books & Reference,4.1 and up,Books & Reference
Anonymous caller detection,4.3,161,2.7,10000,0.0,Everyone,0,2018,7,13,Books & Reference,2.3 and up,Books & Reference
Ebook Reader,4.1,85842,37000.0,5000000,0.0,Everyone,0,2018,6,25,Books & Reference,4.0 and up,Books & Reference
Litnet - E-books,4.6,7831,15000.0,100000,0.0,Teen,0,2018,7,4,Books & Reference,4.0 and up,Books & Reference
Read books online,4.1,91615,23000.0,5000000,0.0,Mature 17+,0,2018,6,29,Books & Reference,4.1 and up,Books & Reference
English to Urdu Dictionary,4.6,4620,19000.0,500000,0.0,Everyone,0,2017,11,23,Books & Reference,4.0.3 and up,Books & Reference
eBoox: book reader fb2 epub zip,4.7,21336,23000.0,1000000,0.0,Everyone,0,2018,6,20,Books & Reference,3.0 and up,Books & Reference
English Persian Dictionary,4.5,26875,73000.0,500000,0.0,Everyone,0,2018,8,1,Books & Reference,4.0.3 and up,Books & Reference
Flybook,3.9,1778,4.9,500000,0.0,Mature 17+,0,2014,10,16,Books & Reference,2.1 and up,Books & Reference
All Maths Formulas,4.4,2709,6.8,1000000,0.0,Everyone,0,2018,7,11,Books & Reference,4.4 and up,Books & Reference
HTC Help,4.2,8342,13000.0,10000000,0.0,Everyone,0,2017,8,28,Books & Reference,7.0 and up,Books & Reference
English translation from Bengali,4.5,527,2.9,100000,0.0,Everyone,0,2018,3,31,Books & Reference,4.0 and up,Books & Reference
Pdf Book Download - Read Pdf Book,4.4,1322,3.5,100000,0.0,Everyone,0,2018,5,28,Books & Reference,4.0.3 and up,Books & Reference
Free Book Reader,3.4,1680,4.0,100000,0.0,Everyone,0,2016,8,20,Books & Reference,4.0.3 and up,Books & Reference
eBoox new: Reader for fb2 epub zip books,4.9,2739,21000.0,50000,0.0,Everyone,0,2018,7,17,Books & Reference,3.0 and up,Books & Reference
"Only 30 days in English, the guideline is guaranteed",4.6,1065,2.3,500000,0.0,Everyone,0,2018,6,16,Books & Reference,3.0 and up,Books & Reference
SH-02J Owner's Manual (Android 8.0),4.3,2,7.2,50000,0.0,Everyone,0,2018,6,15,Books & Reference,6.0 and up,Books & Reference
English-Myanmar Dictionary,4.4,8788,10000.0,1000000,0.0,Everyone,0,2018,7,28,Books & Reference,4.0 and up,Books & Reference
Golden Dictionary (EN-AR),4.4,51269,6.1,1000000,0.0,Everyone,0,2018,7,19,Books & Reference,4.2 and up,Books & Reference
All Language Translator Free,4.4,30105,2.1,1000000,0.0,Everyone,0,2018,7,29,Books & Reference,4.0.3 and up,Books & Reference
Azpen eReader,3.5,156,42000.0,500000,0.0,Everyone,0,2018,2,15,Books & Reference,2.2 and up,Books & Reference
URBANO V 02 instruction manual,4.3,114,7.3,100000,0.0,Everyone,0,2015,8,7,Books & Reference,5.1 and up,Books & Reference
English Dictionary - Offline,4.4,341157,30000.0,10000000,0.0,Everyone 10+,0,2018,3,20,Books & Reference,4.2 and up,Books & Reference
ADP Mobile Solutions,4.3,85185,29000.0,5000000,0.0,Everyone,0,2018,7,17,Business,5.0 and up,Business
Google My Business,4.4,70991,13000.0,5000000,0.0,Everyone,0,2018,7,24,Business,4.4 and up,Business
OfficeSuite : Free Office + PDF Editor,4.3,1002861,35000.0,100000000,0.0,Everyone,0,2018,8,2,Business,4.1 and up,Business
USPS MOBILE®,3.9,16589,9.1,1000000,0.0,Everyone,0,2018,6,14,Business,4.0.3 and up,Business
Job Search by ZipRecruiter,4.8,148945,25000.0,1000000,0.0,Everyone,0,2018,7,19,Business,5.0 and up,Business
Curriculum vitae App CV Builder Free Resume Maker,4.5,4458,3.9,500000,0.0,Everyone,0,2018,7,8,Business,4.1 and up,Business
Google Primer,4.4,62272,18000.0,10000000,0.0,Everyone,0,2018,6,26,Business,4.1 and up,Business
Alba Heaven - Alvarez Job Portal Services,4.0,8941,12000.0,5000000,0.0,Everyone,0,2018,7,31,Business,4.0.3 and up,Business
SuperLivePro,4.3,46353,21000.0,1000000,0.0,Everyone,0,2016,4,13,Business,1.5 and up,Business
My Space - Employment Center,4.5,67000,13000.0,1000000,0.0,Everyone,0,2018,7,17,Business,4.3 and up,Business
Polaris Office for LG,4.2,30847,55000.0,5000000,0.0,Everyone,0,2018,2,8,Business,4.1 and up,Business
Call Blocker,4.6,188841,3.2,5000000,0.0,Everyone,0,2018,6,21,Business,4.0 and up,Business
Plugin:AOT v5.0,3.1,4034,23.0,100000,0.0,Everyone,0,2015,9,11,Business,2.2 and up,Business
Kariyer.net,3.9,45964,16000.0,1000000,0.0,Everyone,0,2018,7,18,Business,4.1 and up,Business
Become a Job - Find a job or advertise,4.1,6903,14000.0,1000000,0.0,Everyone,0,2018,7,10,Business,4.1 and up,Business
ZOOM Cloud Meetings,4.4,31614,37000.0,10000000,0.0,Everyone,0,2018,7,20,Business,4.0 and up,Business
Facebook Ads Manager,4.1,19023,13000.0,1000000,0.0,Everyone,0,2018,8,1,Business,4.1 and up,Business
"IndiaMART: Search Products, Buy, Sell & Trade",4.5,207372,11000.0,5000000,0.0,Everyone,0,2018,8,2,Business,4.0 and up,Business
ViettelPost express delivery,4.4,1225,25000.0,100000,0.0,Everyone,0,2018,8,1,Business,4.1 and up,Business
MyASUS - Service Center,4.4,380837,7.3,10000000,0.0,Everyone,0,2018,7,4,Business,4.2 and up,Business
Job Korea - Career Jobs,4.3,10600,6.5,1000000,0.0,Everyone,0,2018,8,1,Business,4.0 and up,Business
"104 Looking for a job - looking for a job, looking for a job, looking for a part-time job, health checkup, resume, treatment room",4.4,74359,25000.0,1000000,0.0,Everyone,0,2018,7,27,Business,4.0 and up,Business
Myanmar 2D/3D,4.6,822,3.1,100000,0.0,Everyone,0,2018,6,8,Business,4.0.3 and up,Business
Quick PDF Scanner + OCR FREE,4.2,80805,13000.0,5000000,0.0,Everyone,0,2018,2,26,Business,4.0.3 and up,Business
sABN,4.4,2287,1.5,1000000,0.0,Everyone,0,2018,3,26,Business,2.2 and up,Business
ATI Cargoes and Transportation,4.7,4162,7.5,100000,0.0,Everyone,0,2018,7,24,Business,4.0.3 and up,Business
Secure Folder,3.8,14760,8.6,50000000,0.0,Everyone,0,2018,1,31,Business,7.0 and up,Business
Y! Mobile menu,4.3,9,1.2,100000,0.0,Everyone,0,2018,4,9,Business,6.0 and up,Business
Quick PDF Scanner + OCR FREE,4.2,80805,13000.0,5000000,0.0,Everyone,0,2018,2,26,Business,4.0.3 and up,Business
Tiny Scanner - PDF Scanner App,4.7,286897,39000.0,10000000,0.0,Everyone,0,2017,5,30,Business,3.0 and up,Business
Fast Scanner : Free PDF Scan,4.5,103755,14000.0,10000000,0.0,Everyone,0,2018,7,11,Business,4.1 and up,Business
Mobile Doc Scanner (MDScan) Lite,4.2,46505,19000.0,1000000,0.0,Everyone,0,2018,8,2,Business,4.1 and up,Business
TurboScan: scan documents and receipts in PDF,4.7,11442,6.8,100000,4.99,Everyone,1,2018,3,25,Business,4.0 and up,Business
Tiny Scanner Pro: PDF Doc Scan,4.8,10295,39000.0,100000,4.99,Everyone,1,2017,4,11,Business,3.0 and up,Business
Zenefits,4.2,296,14000.0,50000,0.0,Everyone,0,2018,6,15,Business,4.1 and up,Business
Google Ads,4.3,29313,20000.0,5000000,0.0,Everyone,0,2018,7,30,Business,4.0.3 and up,Business
Google My Business,4.4,70991,13000.0,5000000,0.0,Everyone,0,2018,7,24,Business,4.4 and up,Business
FreshBooks Classic,4.1,1802,26000.0,100000,0.0,Everyone,0,2018,4,18,Business,4.2 and up,Business
Insightly CRM,3.8,1383,51000.0,100000,0.0,Everyone,0,2018,7,12,Business,5.0 and up,Business
QuickBooks Accounting: Invoicing & Expenses,4.3,23175,41000.0,1000000,0.0,Everyone,0,2018,7,13,Business,4.1 and up,Business
